Variation of NA 

Porph Concentration: 5.000000e-05
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 9.546603e+22	 3.210657e-04	 4.204359e+04	 5.432382e+03	 3.811140e+08	 4.924309e+07
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 3.732751e+23	 4.898565e-03	 1.655179e+05	 2.138629e+04	 1.500376e+09	 1.938611e+08
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.045110e+24	 3.783223e-02	 4.622784e+05	 5.973021e+04	 4.190430e+09	 5.414384e+08
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.407324e+24	 1.865750e-01	 1.006948e+06	 1.301060e+05	 9.127713e+09	 1.179376e+09
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 4.888892e+24	 5.854949e-01	 1.596122e+06	 2.062322e+05	 1.446842e+10	 1.869440e+09
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.113685e+24	 9.555941e-01	 1.426575e+06	 1.843254e+05	 1.293153e+10	 1.670861e+09
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.601515e+25	 1.000000e+00	 9.004592e+05	 1.163468e+05	 8.162423e+09	 1.054653e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.706723e+25	 1.000000e+00	 5.708679e+05	 7.376087e+04	 5.174765e+09	 6.686227e+08

Porph Concentration: 1.000000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 9.546603e+22	 3.210657e-04	 8.408719e+04	 1.086476e+04	 7.622279e+08	 9.848618e+07
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 3.732751e+23	 4.898565e-03	 3.310359e+05	 4.277259e+04	 3.000752e+09	 3.877221e+08
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.045110e+24	 3.783223e-02	 9.245567e+05	 1.194604e+05	 8.380861e+09	 1.082877e+09
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.407324e+24	 1.865750e-01	 2.013896e+06	 2.602120e+05	 1.825543e+10	 2.358753e+09
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 4.888892e+24	 5.854949e-01	 3.192244e+06	 4.124644e+05	 2.893684e+10	 3.738880e+09
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.113685e+24	 9.555941e-01	 2.853151e+06	 3.686508e+05	 2.586305e+10	 3.341721e+09
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.601515e+25	 1.000000e+00	 1.800918e+06	 2.326936e+05	 1.632485e+10	 2.109306e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.706723e+25	 1.000000e+00	 1.141736e+06	 1.475217e+05	 1.034953e+10	 1.337245e+09

Porph Concentration: 1.500000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 9.546603e+22	 3.210657e-04	 1.261308e+05	 1.629714e+04	 1.143342e+09	 1.477293e+08
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 3.732751e+23	 4.898565e-03	 4.965538e+05	 6.415888e+04	 4.501128e+09	 5.815832e+08
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.045110e+24	 3.783223e-02	 1.386835e+06	 1.791906e+05	 1.257129e+10	 1.624315e+09
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.407324e+24	 1.865750e-01	 3.020843e+06	 3.903181e+05	 2.738314e+10	 3.538129e+09
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 4.888892e+24	 5.854949e-01	 4.788366e+06	 6.186966e+05	 4.340526e+10	 5.608320e+09
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.113685e+24	 9.555941e-01	 4.279726e+06	 5.529762e+05	 3.879458e+10	 5.012582e+09
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.601515e+25	 1.000000e+00	 2.701378e+06	 3.490404e+05	 2.448727e+10	 3.163959e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.706723e+25	 1.000000e+00	 1.712604e+06	 2.212826e+05	 1.552430e+10	 2.005868e+09

Porph Concentration: 2.000000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 9.546603e+22	 3.210657e-04	 1.681744e+05	 2.172953e+04	 1.524456e+09	 1.969724e+08
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 3.732751e+23	 4.898565e-03	 6.620718e+05	 8.554517e+04	 6.001504e+09	 7.754442e+08
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.045110e+24	 3.783223e-02	 1.849113e+06	 2.389208e+05	 1.676172e+10	 2.165754e+09
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.407324e+24	 1.865750e-01	 4.027791e+06	 5.204241e+05	 3.651085e+10	 4.717506e+09
