Variation of NA 

Porph Concentration: 1.000000e-06
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 2.560011e+05	 3.307748e+04	 9.806814e+08	 1.267122e+08
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 8.538523e+05	 1.103248e+05	 3.270911e+09	 4.226289e+08
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 9.578869e+05	 1.237669e+05	 3.669444e+09	 4.741226e+08
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 4.749447e+05	 6.136680e+04	 1.819404e+09	 2.350821e+08
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 2.424890e+05	 3.133159e+04	 9.289193e+08	 1.200241e+08
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 1.306340e+05	 1.687900e+04	 5.004287e+08	 6.465954e+07
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 7.847055e+04	 1.013905e+04	 3.006026e+08	 3.884035e+07
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 4.929874e+04	 6.369807e+03	 1.888521e+08	 2.440126e+07

Porph Concentration: 5.000000e-05
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 1.280006e+07	 1.653874e+06	 4.903407e+10	 6.335609e+09
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 4.269261e+07	 5.516240e+06	 1.635456e+11	 2.113145e+10
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 4.789434e+07	 6.188347e+06	 1.834722e+11	 2.370613e+10
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 2.374724e+07	 3.068340e+06	 9.097019e+10	 1.175410e+10
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 1.212445e+07	 1.566579e+06	 4.644596e+10	 6.001204e+09
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 6.531699e+06	 8.439498e+05	 2.502143e+10	 3.232977e+09
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 3.923527e+06	 5.069523e+05	 1.503013e+10	 1.942018e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 2.464937e+06	 3.184904e+05	 9.442606e+09	 1.220063e+09

Porph Concentration: 1.000000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 2.560011e+07	 3.307748e+06	 9.806814e+10	 1.267122e+10
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 8.538523e+07	 1.103248e+07	 3.270911e+11	 4.226289e+10
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 9.578869e+07	 1.237669e+07	 3.669444e+11	 4.741226e+10
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 4.749447e+07	 6.136680e+06	 1.819404e+11	 2.350821e+10
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 2.424890e+07	 3.133159e+06	 9.289193e+10	 1.200241e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 1.306340e+07	 1.687900e+06	 5.004287e+10	 6.465954e+09
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 7.847055e+06	 1.013905e+06	 3.006026e+10	 3.884035e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 4.929874e+06	 6.369807e+05	 1.888521e+10	 2.440126e+09

Porph Concentration: 1.500000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 3.840017e+07	 4.961621e+06	 1.471022e+11	 1.900683e+10
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 1.280778e+08	 1.654872e+07	 4.906367e+11	 6.339434e+10
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 1.436830e+08	 1.856504e+07	 5.504166e+11	 7.111839e+10
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 7.124171e+07	 9.205021e+06	 2.729106e+11	 3.526231e+10
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 3.637334e+07	 4.699738e+06	 1.393379e+11	 1.800361e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 1.959510e+07	 2.531849e+06	 7.506430e+10	 9.698931e+09
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 1.177058e+07	 1.520857e+06	 4.509039e+10	 5.826053e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 7.394811e+06	 9.554711e+05	 2.832782e+10	 3.660189e+09

Porph Concentration: 2.000000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 5.120023e+07	 6.615495e+06	 1.961363e+11	 2.534244e+10
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 1.707705e+08	 2.206496e+07	 6.541823e+11	 8.452578e+10
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 1.915774e+08	 2.475339e+07	 7.338888e+11	 9.482452e+10
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 9.498895e+07	 1.227336e+07	 3.638808e+11	 4.701642e+10
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 4.849779e+07	 6.266317e+06	 1.857839e+11	 2.400482e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 2.612680e+07	 3.375799e+06	 1.000857e+11	 1.293191e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 1.569411e+07	 2.027809e+06	 6.012052e+10	 7.768070e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 9.859748e+06	 1.273961e+06	 3.777042e+10	 4.880252e+09

Porph Concentration: 2.500000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 6.400029e+07	 8.269369e+06	 2.451703e+11	 3.167805e+10
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 2.134631e+08	 2.758120e+07	 8.177278e+11	 1.056572e+11
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 2.394717e+08	 3.094174e+07	 9.173609e+11	 1.185307e+11
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 1.187362e+08	 1.534170e+07	 4.548509e+11	 5.877052e+10
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 6.062224e+07	 7.832897e+06	 2.322298e+11	 3.000602e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 3.265850e+07	 4.219749e+06	 1.251072e+11	 1.616489e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 1.961764e+07	 2.534762e+06	 7.515064e+10	 9.710088e+09
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 1.232469e+07	 1.592452e+06	 4.721303e+10	 6.100316e+09

Porph Concentration: 3.000000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 7.680034e+07	 9.923243e+06	 2.942044e+11	 3.801365e+10
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 2.561557e+08	 3.309744e+07	 9.812734e+11	 1.267887e+11
0.45	  0.95	 1.624	 0.129	 5.083753e+00	 4.022652e-07	 1.136940e+25	 9.107465e-01	 2.873661e+08	 3.713008e+07	 1.100833e+12	 1.422368e+11
0.55	  0.95	 1.624	 0.129	 2.242321e+00	 3.291261e-07	 2.618846e+25	 9.881999e-01	 1.424834e+08	 1.841004e+07	 5.458211e+11	 7.052462e+10
0.65	  0.95	 1.624	 0.129	 1.126571e+00	 2.784913e-07	 5.318460e+25	 1.000000e+00	 7.274669e+07	 9.399476e+06	 2.786758e+11	 3.600723e+10
0.75	  0.95	 1.624	 0.129	 6.070140e-01	 2.388650e-07	 9.914469e+25	 1.000000e+00	 3.919020e+07	 5.063699e+06	 1.501286e+11	 1.939786e+10
0.85	  0.95	 1.624	 0.129	 3.646273e-01	 2.131509e-07	 1.742234e+26	 1.000000e+00	 2.354116e+07	 3.041714e+06	 9.018077e+10	 1.165211e+10
0.95	  0.95	 1.624	 0.129	 2.290754e-01	 1.926326e-07	 2.944552e+26	 1.000000e+00	 1.478962e+07	 1.910942e+06	 5.665563e+10	 7.320379e+09

Porph Concentration: 3.500000e-04
NA 	 NA_Collection	 Solid_Angle	 Collected_Fraction	 Focal_Volume	 PSF	 Max_I	 Max_Generated_Sig(%)	 Total_Generated_Sig_1_Cycle	 Total_Collected_Sig_1_Cycle	 Generated_Sig_1_Sec	 Collected_Sig_1_Sec
0.25	  0.95	 1.624	 0.129	 5.449868e+01	 7.240773e-07	 1.038543e+24	 2.364594e-02	 8.960040e+07	 1.157712e+07	 3.432385e+11	 4.434926e+10
0.35	  0.95	 1.624	 0.129	 1.406176e+01	 5.171981e-07	 4.060734e+24	 3.038673e-01	 2.988483e+08	 3.861368e+07	 1.144819e+12	 1.479201e+11
